,address1,address2,address3,address,long,lat
46,2233 GLEN HAVEN BLVD,HOUSTON,77030,"2233 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4101951,29.7022627
47,2215 GLEN HAVEN BLVD,HOUSTON,77030,"2215 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.40954049999999,29.7024698
48,2027 ADDISON RD,HOUSTON,77030,"2027 ADDISON RD, HOUSTON, TX 77030",-95.4062472,29.710522
49,2348 MARONEAL ST,HOUSTON,77030,"2348 MARONEAL ST, HOUSTON, TX 77030",-95.41380939999999,29.7030189
50,2532 BLUE BONNET BLVD,HOUSTON,77030,"2532 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.4179486,29.7010215
51,2305 UNDERWOOD ST,HOUSTON,77030,"2305 UNDERWOOD ST, HOUSTON, TX 77030",-95.4103588,29.7002708
52,2334 UNDERWOOD ST,HOUSTON,77030,"2334 UNDERWOOD ST, HOUSTON, TX 77030",-95.4126295,29.7001557
53,2105 MARONEAL ST,HOUSTON,77030,"2105 MARONEAL ST, HOUSTON, TX 77030",-95.4079859,29.7034355
54,2222 SHERIDAN ST,HOUSTON,77030,"2222 SHERIDAN ST, HOUSTON, TX 77030",-95.410277,29.7072222
55,2122 ADDISON RD,HOUSTON,77030,"2122 ADDISON RD, HOUSTON, TX 77030",-95.4083746,29.71169849999999
56,2147 UNIVERSITY BLVD,HOUSTON,77030,"2147 UNIVERSITY BLVD, HOUSTON, TX 77030",-95.4084768,29.7137019
57,2429 SOUTHGATE BLVD,HOUSTON,77030,"2429 SOUTHGATE BLVD, HOUSTON, TX 77030",-95.41625049999999,29.7092343
58,2254 SHAKESPEARE ST,HOUSTON,77030,"2254 SHAKESPEARE ST, HOUSTON, TX 77030",-95.4120567,29.7145259
59,2515 SWIFT BLVD,HOUSTON,77030,"2515 SWIFT BLVD, HOUSTON, TX 77030",-95.4171507,29.7123556
60,2404 GLEN HAVEN BLVD,HOUSTON,77030,"2404 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4146957,29.7018987
61,2330 BLUE BONNET BLVD,HOUSTON,77030,"2330 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.4127931,29.7010965
62,7321 GREENBRIAR DR,HOUSTON,77030,"7321 GREENBRIAR DR, HOUSTON, TX 77030",-95.4091928,29.70169439999999
63,2250 GLEN HAVEN BLVD,HOUSTON,77030,"2250 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4109316,29.7027741
64,2342 UNDERWOOD ST,HOUSTON,77030,"2342 UNDERWOOD ST, HOUSTON, TX 77030",-95.4138774,29.7000371
65,2258 SHAKESPEARE ST,HOUSTON,77030,"2258 SHAKESPEARE ST, HOUSTON, TX 77030",-95.4124863,29.714531
66,2402 MARONEAL ST,HOUSTON,77030,"2402 MARONEAL ST, HOUSTON, TX 77030",-95.4149412,29.7029715
67,2305 BLUE BONNET BLVD,HOUSTON,77030,"2305 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.4100519,29.7013887
68,7319 GREENBRIAR DR,HOUSTON,77030,"7319 GREENBRIAR DR, HOUSTON, TX 77030",-95.40992920000001,29.7021607
69,2318 BELLEFONTAINE ST,HOUSTON,77030,"2318 BELLEFONTAINE ST, HOUSTON, TX 77030",-95.4130591,29.7040408
70,2311 UNDERWOOD ST,HOUSTON,77030,"2311 UNDERWOOD ST, HOUSTON, TX 77030",-95.41082929999999,29.7001388
71,2341 BLUE BONNET BLVD,HOUSTON,77030,"2341 BLUE BONNET BLVD, HOUSTON, TX 77030",-95.4134478,29.7004833
72,2 BRAESWOOD CT,HOUSTON,77030,"2 BRAESWOOD CT, HOUSTON, TX 77030",-95.4131409,29.6988941
73,2047 UNIVERSITY BLVD,HOUSTON,77030,"2047 UNIVERSITY BLVD, HOUSTON, TX 77030",-95.4064518,29.71308519999999
74,2527 SWIFT BLVD,HOUSTON,77030,"2527 SWIFT BLVD, HOUSTON, TX 77030",-95.4177849,29.7123072
75,2300 UNDERWOOD ST,HOUSTON,77030,"2300 UNDERWOOD ST, HOUSTON, TX 77030",-95.4099701,29.7008506
76,2534 GLEN HAVEN BLVD,HOUSTON,77030,"2534 GLEN HAVEN BLVD, HOUSTON, TX 77030",-95.4180509,29.7021227
